,종목코드,종목명,시간,종가,대비,시가,고가,저가,매도호가,매수호가,거래량,거래대금,예상체결가 구분 플래그,예상체결가,예상체결가 전일대비,예상체결수량
333,A006740,영풍제지,1559,7050,-40,7090,7140,6980,7050,7020,37524,26357,50,7050,-40.0,463
334,A006800,미래에셋증권,1556,8860,50,8870,8940,8820,8860,8850,1182639,1049081,50,8860,50.0,86679
335,A006805,미래에셋증권우,1540,5880,30,5900,5920,5850,5890,5880,20039,11783,50,5880,30.0,201
336,A00680K,미래에셋증권2우B,1553,4880,-5,4890,4930,4860,4880,4875,464552,227279,50,4880,-5.0,8063
337,A006840,AK홀딩스,1551,27700,700,27350,28100,27100,27800,27700,38320,106351,50,27700,700.0,272
338,A006880,신송홀딩스,1530,5520,90,5430,5550,5410,5520,5480,40036,21944,50,5520,90.0,157
339,A006890,태경케미컬,1559,16050,-600,16550,16950,16000,16100,16050,101456,165577,50,16050,-600.0,3035
340,A006980,우성사료,1548,31050,-150,31000,31200,30650,31050,30850,9678,29887,50,31050,-150.0,108
341,A007070,GS리테일,1557,33600,-250,33850,33950,33450,33600,33550,216798,729228,50,33600,-250.0,9312
342,A007110,일신석재,1559,2920,465,2460,2945,2420,2920,2915,56513861,16074354,50,2920,465.0,963654
343,A007120,미래아이앤지,1552,563,3,556,588,555,563,562,1177731,66805,50,563,3.0,14966
344,A007160,사조산업,1540,53100,-300,53700,54000,52900,53200,53100,16262,86698,50,53100,-300.0,759
345,A007210,벽산,1559,4010,5,4010,4080,3985,4015,4010,589947,236700,50,4010,5.0,6138
346,A007280,한국특강,1530,3570,5,3565,3670,3540,3570,3565,99263,35433,50,3570,5.0,230
347,A007310,오뚜기,1530,502000,-3000,505000,506000,502000,504000,502000,4082,205259,50,502000,-3000.0,239
348,A007340,디티알오토모티브,1553,47150,350,46850,47600,46800,47150,47050,17627,83066,50,47150,350.0,343
349,A007460,에이프로젠 MED,1559,1940,-50,2005,2015,1930,1940,1935,5190087,1020487,50,1940,-50.0,93160
350,A007540,샘표,1530,45400,50,45250,45900,45200,45400,45350,3203,14552,50,45400,50.0,44
351,A007570,일양약품,1551,32000,-350,32350,32450,31900,32000,31950,105192,337807,50,32000,-350.0,1392
352,A007575,일양약품우,1530,32150,-350,32200,32300,32150,32200,32150,615,1980,50,32150,-350.0,115
353,A007590,동방아그로,1540,7580,90,7420,7580,7400,7580,7570,26870,20154,50,7580,90.0,595
354,A007610,선도전기,1550,3670,130,3520,3690,3500,3670,3665,174490,62930,50,3670,130.0,3080
355,A007630,폴루스바이오팜,0,1225,0,0,0,0,0,0,0,0,50,0,,0
356,A007660,이수페타시스,1559,3905,-130,4065,4100,3900,3905,3900,596251,237273,50,3905,-130.0,23877
357,A007690,국도화학,1556,82900,-500,84300,84500,82400,82900,82700,92386,770813,50,82900,-500.0,2507
358,A007700,F&F홀딩스,1559,38550,1450,37150,39450,36800,38600,38550,402941,1553252,50,38550,1450.0,6299
359,A007810,코리아써키트,1554,14150,100,14250,14300,14000,14150,14100,99963,140938,50,14150,100.0,1358
360,A007815,코리아써우,1516,7090,20,7110,7140,6950,7100,7060,1056,743,50,0,,0
361,A00781K,코리아써키트2우B,1530,8760,-290,9150,9150,8610,8820,8760,1408,1228,50,8760,-290.0,35
362,A007860,서연,1559,13200,-600,13750,13800,13200,13250,13200,503481,676790,50,13200,-600.0,12858
363,A007980,태평양물산,1559,2910,135,2725,2945,2715,2915,2910,5398776,1557107,50,2910,135.0,76430
364,A008040,사조동아원,1555,1320,65,1260,1335,1255,1320,1315,2751320,360391,50,1320,65.0,28092
365,A008060,대덕,1556,7200,-50,7270,7320,7190,7210,7200,111595,80900,50,7200,-50.0,3445
366,A00806K,대덕1우,1550,10800,-50,11000,11150,10650,10800,10750,15707,16948,50,10800,-50.0,3
367,A008110,대동전자,1530,7710,-270,7990,8050,7700,7720,7710,45784,35704,50,7710,-270.0,1410
368,A008250,이건산업,1559,13850,-150,14100,14400,13650,13850,13800,169729,237635,50,13850,-150.0,4981
369,A008260,NI스틸,1556,4360,-40,4460,4460,4335,4360,4350,68757,30092,50,4360,-40.0,786
370,A008350,남선알미늄,1559,3980,-90,4085,4125,3950,3985,3980,9159281,3682124,50,3980,-90.0,132804
371,A008355,남선알미우,1548,37600,-1500,38250,38600,37450,37650,37600,9291,35416,50,37600,-1500.0,750
372,A008420,문배철강,1530,4560,-15,4550,4700,4540,4565,4560,149953,69002,50,4560,-15.0,3724
373,A008490,서흥,1552,53900,-300,54000,54500,53600,54000,53900,9474,51040,50,53900,-300.0,69
374,A008500,일정실업,1530,21250,0,21250,21250,21250,21350,21250,2298,4883,50,21250,0.0,17
375,A008560,메리츠증권,1555,5120,-70,5160,5230,5120,5130,5120,740168,381248,50,5120,-70.0,48448
376,A008600,윌비스,1559,2175,-25,2210,2245,2145,2175,2170,977081,213728,50,2175,-25.0,22712
377,A008700,아남전자,1559,2475,-30,2560,2590,2475,2475,2470,703973,177548,50,2475,-30.0,50943
378,A008730,율촌화학,1551,26200,1550,24750,28400,24300,26200,26150,1704474,4497904,50,26200,1550.0,11489
379,A008770,호텔신라,1559,88900,400,89400,91000,88300,89000,88900,411538,3684844,50,88900,400.0,4622
380,A008775,호텔신라우,1543,90300,500,90300,91200,89500,90300,90100,6652,60041,50,90300,500.0,103
381,A008870,금비,1559,72000,700,71300,72700,71200,72000,71300,1212,8665,50,72000,700.0,14
382,A008930,한미사이언스,1554,68200,-600,69400,69600,67400,68300,68200,94983,648666,50,68200,-600.0,2954
383,A008970,동양철관,1555,1485,70,1420,1495,1420,1485,1480,1869503,272941,50,1485,70.0,21355
384,A009070,KCTC,1559,6400,-30,6390,6550,6390,6410,6400,101568,65330,50,6400,-30.0,2238
385,A009140,경인전자,1530,25800,-500,26050,26300,25750,25950,25800,5351,13939,50,25800,-500.0,152
386,A009150,삼성전기,1558,178500,1500,178500,181000,178000,179000,178500,269294,4830179,50,178500,1500.0,8662
387,A009155,삼성전기우,1552,98800,-100,98900,99700,98200,98800,98700,6407,63304,50,98800,-100.0,152
388,A009160,SIMPAC,1559,8940,600,8250,9380,8250,8940,8930,4772205,4284924,50,8940,600.0,50538
389,A009180,한솔로지스틱스,1559,4465,95,4465,4910,4465,4470,4465,3119129,1457852,50,4465,95.0,30556
390,A009190,대양금속,1553,5450,-50,5590,5630,5410,5460,5450,577392,317324,50,5450,-50.0,10129
